               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.075785,            0.017982,            0.015361,             0.50654,             0.25455,             0.30556,            0.091396,            0.097072,            0.013061,            0.013481,           0.0098268,           0.0098268,           0.0098268
                  37,            0.089255,            0.017227,            0.014925,             0.73531,             0.44091,             0.57796,             0.17377,            0.076409,            0.012166,            0.012692,           0.0098218,           0.0098218,           0.0098218
                  38,            0.070563,            0.018152,            0.014745,             0.59214,             0.70408,             0.61006,             0.23689,             0.06615,            0.011968,            0.012435,           0.0098169,           0.0098169,           0.0098169
                  39,            0.066737,            0.017431,            0.014659,             0.64191,             0.69383,             0.52695,             0.16176,            0.066474,            0.013068,            0.012301,           0.0098119,           0.0098119,           0.0098119
                  40,            0.069827,            0.017864,            0.014035,             0.93697,             0.62358,             0.75229,             0.35146,            0.069809,            0.011635,            0.012566,            0.009807,            0.009807,            0.009807
                  41,             0.06589,            0.017606,            0.014819,              0.7924,             0.60455,             0.75272,             0.35178,            0.057906,            0.011593,            0.012781,            0.009802,            0.009802,            0.009802
                  42,            0.061173,            0.016962,            0.014816,             0.89022,             0.62565,             0.84574,             0.35213,            0.054231,            0.011586,            0.012639,            0.009797,            0.009797,            0.009797
                  43,            0.055796,            0.016047,            0.013776,             0.47495,             0.92006,              0.9024,             0.31299,            0.057759,            0.012188,             0.01206,           0.0097921,           0.0097921,           0.0097921
                  44,             0.06312,             0.01698,            0.013792,             0.16783,             0.67835,             0.30766,            0.074243,            0.084581,            0.012095,            0.011233,           0.0097871,           0.0097871,           0.0097871
                  45,            0.074983,            0.015801,            0.013539,             0.42969,             0.94353,             0.68226,             0.31669,            0.058053,            0.011366,            0.010477,           0.0097822,           0.0097822,           0.0097822
                  46,            0.056464,            0.017661,            0.012254,             0.47291,             0.94275,             0.60522,             0.16194,            0.049108,             0.01177,            0.010118,           0.0097773,           0.0097773,           0.0097773
                  47,            0.053631,            0.017772,              0.0123,             0.52798,             0.91731,             0.75997,             0.21966,            0.052359,            0.011256,           0.0094264,           0.0097723,           0.0097723,           0.0097723
                  48,             0.06184,            0.017185,              0.0111,             0.44665,             0.98276,             0.59384,             0.15921,            0.065351,            0.011817,           0.0090887,           0.0097674,           0.0097674,           0.0097674
                  49,            0.067027,            0.014989,             0.01225,             0.49085,             0.96866,             0.76929,             0.38692,            0.063059,            0.010732,             0.00883,           0.0097624,           0.0097624,           0.0097624
                  50,            0.064086,             0.01532,            0.011001,             0.55514,             0.96089,             0.86984,             0.40667,            0.057545,            0.010298,           0.0086416,           0.0097575,           0.0097575,           0.0097575
                  51,            0.061348,             0.01564,            0.011487,             0.67721,             0.96904,             0.83914,             0.36601,            0.057224,             0.01022,           0.0082727,           0.0097525,           0.0097525,           0.0097525
                  52,            0.062555,            0.015645,            0.011001,             0.82236,             0.58403,             0.76255,              0.4144,            0.071424,            0.010331,           0.0079349,           0.0097476,           0.0097476,           0.0097476
                  53,            0.072013,            0.014835,            0.011476,             0.91829,             0.54133,             0.79412,             0.20781,            0.063507,            0.010022,           0.0081004,           0.0097426,           0.0097426,           0.0097426
                  54,            0.065959,            0.016721,            0.010921,             0.93707,             0.50033,             0.76814,             0.38681,             0.06102,           0.0099827,           0.0081395,           0.0097377,           0.0097377,           0.0097377
                  55,            0.055021,            0.015591,            0.011305,             0.68726,             0.66208,             0.78284,             0.34548,            0.054489,            0.010016,           0.0081956,           0.0097327,           0.0097327,           0.0097327
                  56,            0.058735,            0.015632,             0.01189,              0.6581,             0.65498,             0.61654,             0.15996,            0.066211,           0.0094679,           0.0083568,           0.0097278,           0.0097278,           0.0097278
                  57,            0.062421,            0.012663,           0.0099544,             0.41418,             0.97401,             0.72636,             0.27249,            0.052996,            0.010267,           0.0081479,           0.0097228,           0.0097228,           0.0097228
                  58,            0.052833,            0.013516,            0.010857,             0.91683,             0.61533,             0.87818,             0.43729,            0.046374,            0.010131,           0.0082882,           0.0097179,           0.0097179,           0.0097179
                  59,            0.051109,            0.016303,            0.011085,             0.48484,             0.97394,             0.82393,             0.35012,             0.05266,            0.010151,           0.0083793,           0.0097129,           0.0097129,           0.0097129
                  60,            0.066819,            0.015661,            0.011003,             0.38467,             0.90517,             0.66183,             0.28325,            0.069534,           0.0090945,           0.0079122,            0.009708,            0.009708,            0.009708
                  61,            0.072684,            0.013796,            0.010284,             0.49109,              0.9428,             0.79821,             0.32888,             0.06625,           0.0089448,           0.0077975,            0.009703,            0.009703,            0.009703
                  62,             0.06677,            0.012722,           0.0099096,             0.69537,             0.95531,             0.89735,             0.35272,            0.055652,           0.0089905,            0.007766,            0.009698,            0.009698,            0.009698
